"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"MYA ARENARIA","SOFTSHELL CLAM",,"","512080601010000","","","","","","","","","","","","",,"",12-MAR-99,"FPA"
"GASTROPODA VISCERA","SNAIL UNCL VISCERA",,"","514000000000007","","","","","","","","","","","","",,"",12-MAR-99,"FPA"
"CONGRIDAE LARVAE","CONGER EEL UNCL LARVAE",,"","823030200000200","","","","","","","","","","","","",,"",12-MAR-99,"FPA"
"TEUTHOIDEA EGGS","SQUID EGGS",,"","515010000000100","","","","","","","","","","","","",,"",12-MAR-99,"FPA"
"LOLIGO SP BEAKS","",,"","515010901000005","","","","","","","","","","","","",,"",12-MAR-99,"FPA"
"UNKNOWN 20","UNKNOWN 20",997,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"BOLTENIA SP","",,"","761020201000000","BOLTSP","","","","","","","","","","","",,"",30-MAR-99,"FPA"
"MONOFILAMENT FISHING LINE","MONOFILAMENT LINE",,"","932020502010000","MONLIN","","","","","","","","","","","",,"",30-MAR-99,"FPA"
"PAGURIDAE LARVAE","RIGHT-HANDED HERMIT CRAB LARVAE",,"","411022200000200","PAGLAR","","","","","","","","","","","",,"",05-APR-00,"FPA"
"TRASH SPECIES IN CATCH","TRASH",998,"","","","","","","","","","","","","","",,"",,""
"EDOTEA MONTOSA","",,"","411030602010000","EDOMON","","","","","","","","","","","",,"",20-DEC-99,"PA"
"UNOBSERVED","UNOBSERVED",,"","999999999020000","UNOBS","","","","","","","","","","","",,"",17-NOV-99,"FPA"
"ERYTHROPS SP","",,"","411060305000000","ERYTSP","","","","","","","","","","","",,"",20-DEC-99,"PA"
"LUMBRINERIS GRACILIS","",,"","214050705120000","LUMGRA","","","","","","","","","","","",,"",20-DEC-99,"PA"
"CANCER SP MEGALOPA","",,"","411020401000400","CANMEG","","","","","","","","","","","",,"",20-DEC-99,"PA"
"PONTOGENEIA SP","",,"","411012701000000","PONSP2","","","","","","","","","","","",,"",20-DEC-99,"PA"
"PLEUROGONA","",,"","761030000000000","PLEOR2","","","","","","","","","","","",,"",20-DEC-99,"PA"
"PSAMMONYX SP","",,"","411011809000000","PSAMSP","","","","","","","","","","","",,"",20-DEC-99,"PA"
"LAMPROPS FUSCATA","",,"","411040301030000","LAMFUS","","","","","","","","","","","",,"",20-DEC-99,"PA"
"JASMINEIRA SP","",,"","214130205000000","JASMSP","","","","","","","","","","","",,"",20-DEC-99,"PA"
"NINOE SP","",,"","214050706000000","NINOSP","","","","","","","","","","","",,"",20-DEC-99,"PA"
"CLADOCORYNE SP","",,"","051011305000000","CLADSP","","","","","","","","","","","",,"",20-DEC-99,"FPA"
"GLYCINDE SP","",,"","214110801000000","GLYSP2","","","","","","","","","","","",,"",20-DEC-99,"FPA"
"MOLPADIIDA","",,"","615050000000000","MOLORD","","","","","","","","","","","",,"",20-DEC-99,"FPA"
"MONOCULODES BOREALIS","",,"","411012001020000","MONBOR","","","","","","","","","","","",,"",20-DEC-99,"PA"
"LOLIGO SP GLADIUS","LOLIGO SP PEN",,"","515010901000010","LOLGL1","","","","","","","","","","","",,"",20-DEC-99,"PA"
"TURBELLARIA","PLANARIAN UNCL",,"","073000000000000","TURBEL","","","","","","","","","","","",,"",20-DEC-99,"PA"
"SOLENIDAE VISCERA","RAZOR CLAM VISCERA",,"","512082500000007","SOLVIS","","","","","","","","","","","",,"",20-DEC-99,"PA"
"ASTARTE SP VISCERA","",,"","512080201000007","ASTVIS","","","","","","","","","","","",,"",20-DEC-99,"PA"
"BUCCINUM UNDATUM VISCERA","WAVED WHELK VISCERA",,"","514080101010007","BUCVIS","","","","","","","","","","","",,"",20-DEC-99,"PA"
"CALLIONYMIDAE","DRAGONET UNCL",,"","823218500000000","CALFA3","","","","","","","","","","","",,"",20-DEC-99,"PA"
"ALEPISAURIDAE","LANCETFISH UNCL",,"","823180900000000","ALEFA2","","","","","","","","","","","",,"",20-DEC-99,"PA"
"GILVOSSIUS SETIMANUS","",,"","411020301020000","GILSET","","","","","","","","","","","",,"",20-DEC-99,"PA"
"RUBBER","RUBBER",,"","932020401000000","RUBBER","","","","","","","","","","","",,"",20-DEC-99,"PA"
"METAL","METAL",,"","933010101000000","METAL","","","","","","","","","","","",,"",20-DEC-99,"FPA"
"DECAPODA SHRIMP LARVAE","DECAPOD SHRIMP LARVAE",,"","411020000020200","DESLAR","","","","","","","","","","","",,"",05-APR-00,"FPA"
"SCOMBER SCOMBRUS EGG","ATLANTIC MACKEREL EGGS",,"","823216506030100","SCOEGG","","","","","","","","","","","",,"",05-APR-00,"PA"
"LEPTOMEDUSAE","THECATE HYDROID UNCL",,"","051010000000000","LEPFA2","","","","","","","","","","","",,"",05-APR-00,"FPA"
"SCALIBREGMA SP","",,"","214080203000000","SCALSP","","","","","","","","","","","",,"",05-APR-00,"FPA"
"BOTHUS SP","",,"","823230101000000","BOTHSP","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"SCALIBREGMATIDAE","",,"","214080200000000","SCAFA2","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"TEUTHOIDEA","",,"","515010000000000","TEUFAM","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"ERICHSONELLA SP","",,"","411030603000000","ERICS2","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"BIVALVIA LARVAE","",,"","512000000000200","BIVLAR","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"HYPEROCHE SP","",,"","411011403000000","HYPES2","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"MYSIDACEA LARVAE","",,"","411060000000200","MYSLAR","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"PARATHEMISTO COMPRESSA","",,"","411011404020000","PARCOM","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"POLYCHAETA LARVAE","",,"","214000000000200","POLLAR","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"HIPPOLYTE ZOSTERICOLA","",,"","411021404030000","HIPZOS","","","","","","","","","","","",,"",05-MAY-00,"FPA"
"UNKNOWN 19","UNKNOWN 19",996,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"TRICHOPHOXUS EPISTOMUS","",,"","411012403030000","TRIEPI","","","","","","","","","","","",,"",24-MAY-00,"FPA"
"CHAETOZONE SP","",,"","214150407000000","CHAESP","","","","","","","","","","","",,"",24-MAY-00,"FPA"
"CYATHURA SP","",,"","411030202000000","CYATSP","","","","","","","","","","","",,"",24-MAY-00,"FPA"
"LYONSIA SP","",,"","512090201000000","LYONSP","","","","","","","","","","","",,"",24-MAY-00,"FPA"
"COSSURA SP","",,"","214080301000000","COSSSP","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"CHAETOZONE SETOSA","",,"","214150407010000","CHASET","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"ARGOPECTEN IRRADIANS SHELL","BAY SCALLOP SHELL",,"","512060802010004","ARGSHE","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"UNKNOWN 18","UNKNOWN 18",995,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"HOMARUS AMERICANUS EGGS","AMERICAN LOBSTER EGGS",,"","411021201010100","HOMEGG","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"MYTILUS EDULIS SHELL","BLUE MUSSEL SHELL",,"","512030114010004","MYTED1","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"MOLGULA SP","",,"","761010102000000","MOLGSP","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"LYONSIIDAE","",,"","512090200000000","LYOFAM","","","","","","","","","","","",,"",17-JUL-01,"FALMEIDA"
"STRONGYLOCENTROTUS DROEBACHIENSIS EGGS","GREEN SEA URCHIN EGGS",,"","612020201010100","STRDR1","","","","","","","","","","","",,"",30-JUL-01,"FALMEIDA"
"ARCTICA ISLANDICA SHELL","OCEAN QUAHOG SHELL",,"","512080101010004","ARCIS3","","","","","","","","","","","",,"",30-MAY-02,"FALMEIDA"
"DINOCARDIUM ROBUSTUM","ATLANTIC GIANT COCKLE",,"","512080304020000","DRBST1","","","","","","","","","","","",,"",04-FEB-02,"FALMEIDA"
"BUCCINUM SP VISCERA","",,"","514080101000007","BUCVIS","","","","","","","","","","","",,"",30-MAY-02,"FALMEIDA"
"CALANUS SP","",,"","411080201000000","CALASP","","","","","","","","","","","",,"",30-MAY-02,"FALMEIDA"
"SPISULA SP VISCERA","",,"","512081906000007","SPISS2","","","","","","","","","","","",,"",30-MAY-02,"FALMEIDA"
"LIPARIS SP","SNAILFISH",,"","823112507000000","LIPASP","","","","","","","","","","","",,"",30-MAY-02,"FALMEIDA"
"LAVINIA SP","HITCHES",,"","823100104000000","LAVISP","","","","","","","","","","","",,"",30-MAY-02,"FALMEIDA"
"UNKNOWN 17","UNKNOWN 17",994,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 16","UNKNOWN 16",993,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 15","UNKNOWN 15",992,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 14","UNKNOWN 14",991,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 13","UNKNOWN 13",990,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 12","UNKNOWN 12",989,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 11","UNKNOWN 11",988,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 10","UNKNOWN 10",987,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 09","UNKNOWN 09",986,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 08","UNKNOWN 08",985,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 07","UNKNOWN 07",984,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 06","UNKNOWN 06",983,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 05","UNKNOWN 05",982,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 04","UNKNOWN 04",981,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 03","UNKNOWN 03",980,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 02","UNKNOWN 02",979,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"UNKNOWN 01","UNKNOWN 01",978,"","","","","","","","","","","TEMPORARY SVSPP CODE NECESSARY FOR FSCS V1.5","","","",10-APR-03,"NMCHUGH",10-APR-03,"NMCHUGH"
"PANDALIS BOREALIS","NORTHERN SHRIMP UNSTAGED",961,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",17-AUG-04,"SVDBS",17-AUG-04,"SVDBS"
"PANDALIS BOREALIS","NORTHERN SHRIMP MALE",955,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",,"",17-AUG-04,"SVDBS"
"PANDALIS BOREALIS","NORTHERN SHRIMP FEMALE I",956,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",17-AUG-04,"SVDBS",17-AUG-04,"SVDBS"
"PANDALIS BOREALIS","NORTHERN SHRIMP FEMALE II",957,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",17-AUG-04,"SVDBS",17-AUG-04,"SVDBS"
"PANDALIS BOREALIS","NORTHERN SHRIMP TRANSITIONAL",958,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",17-AUG-04,"SVDBS",17-AUG-04,"SVDBS"
"PANDALIS BOREALIS","NORTHERN SHRIMP OVIGEROUS",959,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",17-AUG-04,"SVDBS",17-AUG-04,"SVDBS"
"PANDALIS BOREALIS","NORTHERN SHRIMP NON SPAWN",960,"","","","","","","","","","","TEMPORARY SVSPP CODE FOR FSCS V1.6 SHRIMP SURVEYS","","","",17-AUG-04,"SVDBS",17-AUG-04,"SVDBS"
"SPISULA SOLIDISSIMA BROKEN","ATLANTIC SURFCLAM BROKEN",605,"","","","","","","","","","","","","","",,"",28-APR-05,"NMCHUGH"
"ARCTICA ISLANDICA","OCEAN QUAHOG BROKEN",606,"","","","","","","","","","","","","","",,"",28-APR-05,"NMCHUGH"
"MERCENARIA CAMPECHIENSIS","SOUTHERN QUAHOG BROKEN",607,"","","","","","","","","","","","","","",01-JUN-05,"NMCHUGH",28-APR-05,"NMCHUGH"
"LEPTASTERIAS TENERA","",962,"","","","","","","","","","","","","","",,"",10-JUL-06,"SVDBS"
"DELPHINUS DELPHIS","COMMON DOLPHIN",963,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"PHOCOENA PHOCOENA","HARBOR PORPOISE",964,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"TURSIOPS TRUNCATUS","BOTTLENOS DOLPHIN",965,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"LAGENORHYNCHUS ACUTUS","WHITESIDED DOLPHIN",966,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"DELPHINIDAE","DOLPHIN UNCLASSIFIED",967,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"PHOCOENIDAE/DELPHINIDAE","PORPOISE/DOLPHIN UNCLASSIFIED",968,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"PHOCA VITULINA CONCOLOR","HARBOR SEAL",969,"","","","","","","","","","","","","","",02-SEP-09,"SVDBS",02-SEP-09,"SVDBS"
"HALICHOERUS GRYPUS","GRAY SEAL",970,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"PHOCIDAE","SEAL UNCLASSIFIED",971,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"CETACEA","WHALE UNCLASSIFIED",972,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"GLOBICEPHALA SP","PILOT WHALE UNCLASSIFIED",973,"","","","","","","","","","","","","","",,"",02-SEP-09,"SVDBS"
"ANCYLOPSETTA DILECTA","THREE-EYE FLOUNDER",774,"3EYEFL","","","8857030503","","S","","GOODE AND BEAN","AFS-1991","","","Ancylopsetta dilecta","Three-Eye Flounder","774",09-AUG-95,"BK",,""
"ANCYLOPSETTA QUADROCELLATA","OCELLATED FLOUNDER",775,"OCEFL","823230109010000","ANCQUA","8857030506","","S","","GILL","AFS-1991","","","Ancylopsetta quadrocellata","Ocellated Flounder","775",09-AUG-95,"BK",,""
"ANEMONIA SARGASSENSIS","SARGASSUM ANEMONE",,"","052210101010000","ANESAR","3760012101","","S","","HARGITT, 1908","AFS-1991","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"ANGUILLA ROSTRATA","AMERICAN EEL",384,"AMEEL","823030101010000","ANGROS","8741010101","","S","","(LESUEUR, 1817)","AFS-1991","","PROBABLE MIS-ID OF CONGER EEL |SV: VERY UNLIKELY ON SHELF EXCEPT AS LARVAE","Anguilla rostrata","American Eel","384",09-AUG-95,"BK",,""
"ANGUILLIFORMES","EEL UNCL",60,"EELU","823030000000000","ANGORD","8740","","O","","","AFS-1991","","|SV: CORRECTED TO MOST APPORPRIATE TAXONOMIC GROUP","Eel uncl","Eel Uncl","060",01-JAN-99,"FPA",,""
"ANGUILLIFORMES LARVAE","LEPTOCEPHALUS",,"","823030000000200","ANGLAR","NONE","","","","","FH-1995","","LIFE STAGE USED BY FCDI","","","",28-DEC-94,"RAR",,""
"ANIMAL EGGS","EGGS",,"","840000000000100","ANIEGG","NONE","","","","","FH-1995","","LIFE STAGE USED BY FCDI","","","",28-DEC-94,"RAR",,""
"ANIMAL REMAINS","ANIMAL REMAINS",,"","840000000000000","ANIREM","NONE","","","","","FH-1995","","NON-TAXONOMIC GROUPING USED BY FCDI","","","",28-DEC-94,"RAR",,""
"ANIMAL TUBES","TUBE UNCL",,"","840000000000009","ANITUB","NONE","","","","","FH-1995","","NON-TAXONOMIC GROUPING AND STRUCTURE TYPE USED BY FCDI","","","",28-DEC-94,"RAR",,""
"ANISOTREMUS VIRGINICUS","PORKFISH",626,"PORK","","","8835400306","","S","","(LINNAEUS)","AFS-1991","","","Anisotremus virginicus","Porkfish","626",09-AUG-95,"BK",,""
"ANOMIA SIMPLEX","COMMON JINGLE",,"","512060101010000","ANOSIM","5509090202","","S","","D'ORBIGNY,1842","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"ANOMIA SP","",,"","512060101000000","ANOMSP","55090902","","G","","LINNAEUS,1758","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"ANONYX LILLJEBORGI","",,"","411011801040000","ANOLIL","6169340303","","S","","BOECK, 1871","NODC","","CORRECTED TYPO","","","",28-DEC-94,"RAR",,""
"ANONYX SARSI","",,"","411011801050000","ANOSAR","6169340314","","S","","STEELE AND BRUNEL, 1968","","","","","","",28-DEC-94,"RAR",,""
"ANONYX SP","",,"","411011801000000","ANONSP","61693403","","G","","KROYER, 1833","","","","","","",28-DEC-94,"RAR",,""
"ABLENNES HIANS","FLAT NEEDLEFISH",68,"FLNEED","","","8803020101","","S","","(VALENCIENNES, 1843)","AFS-1991","","","Ablennes hians","Flat Needlefish","068",09-AUG-95,"BK",,""
"ABUDEFDUF SAXATILIS","SERGEANT MAJOR",669,"MAJOR","","","8835620101","","S","","(LINNAEUS)","AFS-1991","","","Abudefduf saxatilis","Sergeant Major","669",09-AUG-95,"BK",,""
"ACANTHOCEPHALA","SPINY HEADED WORM UNCL",,"","100000000000000","ACANTH","49","","P","","","","","","","","",28-DEC-94,"RAR",,""
"ACANTHOCYBIUM SOLANDRI","WAHOO",125,"WAHOO","","","8850030601","","S","","(CUVIER, 1832)","AFS-1991","","|SV: SPELLING CHANGE AFS-1990","Acanthocybium solanderi","Wahoo","125",09-AUG-95,"BK",,""
"ACANTHODORIS PILOSA","HAIRY SPINY DORIS",,"","514011201010000","ACAPIL","5131050101","","S","","(ABILDGAARD, IN MULLER,1789)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"ACANTHOHAUSTORIUS MILLSI","",,"","411011306020000","ACAMIL","6169220602","","S","","BOUSFIELD, 1965","","","","","","",28-DEC-94,"RAR",,""
"ACANTHOHAUSTORIUS SP","",,"","411011306000000","ACANSP","61692206","","G","","BOUSFIELD, 1965","","","","","","",28-DEC-94,"RAR",,""
"ACANTHOHAUSTORIUS SPINOSUS","",,"","411011306030000","ACANS1","6169220603","","S","","BOUSEFIELD, 1962","","","","","","",28-DEC-94,"RAR",,""
"ACANTHONOTOZOMA SERRATUM","",,"","411010101010000","ACASER","6169010103","","S","","FABRICIUS, 1780","","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"ACANTHONOTOZOMA SP","",,"","411010101000000","ACANS2","61690101","","G","","BOECK","","","","","","",28-DEC-94,"RAR",,""
"ACANTHURUS BAHIANUS","OCEAN SURGEON",740,"SURGEON","","","8849010101","","S","","CASTELNAU","AFS-1991","","","Acanthurus bahianus","Ocean Surgeon","740",09-AUG-95,"BK",,""
"ACANTHURUS CHIRURGUS","DOCTORFISH",741,"DOCTOR","","","8849010102","","S","","(BLOCH)","AFS-1991","","","Acanthurus chirurgus","Doctorfish","741",09-AUG-95,"BK",,""
"ACANTHURUS COERULEUS","BLUE TANG",742,"BLUETANG","","","8849010103","","S","","BLOCH AND SCHNEIDER","AFS-1991","","","Acanthurus coeruleus","Blue Tang","742",09-AUG-95,"BK",,""
"ACESTE SP","",,"","612060101000000","ACESSP","81620501","","G","","","","","","","","",28-DEC-94,"RAR",,""
"ACETES AMERICANUS","",,"","411023203010000","ACEAME","6177020101","","S","","ORTMANN, 1893","AFS-1989","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"ACHELIA SPINOSA","",,"","412010101030000","ACHESP","6001040202","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ACIPENSER BREVIROSTRUM","SHORTNOSE STURGEON",379,"SHSTURG","","","8729010104","","S","","LESUEUR, 1818","AFS-1991","","","Acipenser brevirostrum","Shortnose Sturgeon","379",09-AUG-95,"BK",,""
"ACIPENSER OXYRHYNCHUS","ATLANTIC STURGEON",380,"STURG","","","8729010105","","S","","MITCHILL, 1814","AFS-1991","","","Acipenser oxyrhynchus","Atlantic Sturgeon","380",09-AUG-95,"BK",,""
"ACTINIARIA","SEA ANEMONE UNCL",,"","052210000000000","ACTINI","3758","","O","","","AFS-1991","","UNIDENTIFED SEA ANEMONES","","","",28-DEC-94,"RAR",,""
"ADALARIA SP","",,"","514011202000000","ADALSP","51310502","","G","","BERGH,1879","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"AEGA PSORA","",,"","411030101010000","AEGPSO","6161070112","","S","","(LINNAEUS, 1761)","","","","","","",28-DEC-94,"RAR",,""
"AEGIDAE","",,"","411030100000000","AEGFAM","616107","","F","","LEACH, 1815","","","","","","",28-DEC-94,"RAR",,""
"AEGINELLA SPINOSA","",,"","411010901010000","AEGISP","6171011002","","S","","","","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"AEGININA LONGICORNIS","",,"","411010902010000","AEGLON","6171010801","","S","","","","","MONOTYPIC GENUS IN AREA","","","",28-DEC-94,"RAR",,""
"AEOLIDIA SP","",,"","514010101000000","AEOLSP","51420301","","G","","CUVIER,1797","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"AEOLIDIIDAE","",,"","514010100000000","AEOFAM","514203","","F","","ORBIGNY,1834","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"AEQUIPECTEN GLYPTUS","RED-RIBBED SCALLOP",,"","512060801020000","AEQGLY","5509050803","","S","","(A.E. VERRILL,1882)","AFS-1988","","","","","",28-DEC-94,"RAR",,""
"AETOBATIS NARINARI","SPOTTED EAGLE RAY",271,"SPEAGLE","","","8713070101","","","","","AFS-1991","","|SV: SPELLING CHANGE AFS-90,  NODC SPELLING ERROR","Aetobatus narinari","Spotted Eagle Ray","271",09-AUG-95,"BK",,""
"AGLAOPHAMUS CIRCINATA","",,"","214111301010000","AGLCIR","5001250304","","S","","","","","","","","",28-DEC-94,"RAR",,""
"AGLAOPHAMUS SP","",,"","214111301000000","AGLASP","50012503","","G","","","","","","","","",28-DEC-94,"RAR",,""
"AGLAOPHAMUS VERRILLI","",,"","214111301040000","AGLVER","5001250303","","S","","","","","","","","",28-DEC-94,"RAR",,""
"ALBULA VULPES","BONEFISH",383,"BONEFISH","","","8739010101","","S","","(LINNAEUS, 1758)","AFS-1991","","","Albula vulpes","Bonefish","383",09-AUG-95,"BK",,""
"ALBUNEA GIBBESII","SURF MOLE CRAB",,"","411023701010000","ALBGIB","6183130202","","S","","STIMPSON, 1859","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"ALBUNEA PARETII","BEACH MOLE CRAB",,"","411023701020000","ALBPAR","6183130201","","S","","GUERIN-MENEVILLE, 1853","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"ALBUNEA SP","",,"","411023701000000","ALBUSP","61831302","","G","","","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"ALCIOPIDAE","",,"","214110100000000","ALCFAM","500114","","F","","","","","","","","",28-DEC-94,"RAR",,""
"ALECTIS CILIARIS","AFRICAN POMPANO",568,"AFRPOMP","","","8835280202","","S","","BLOCH","AFS-1991","","|SV: NAME CHANGE AFS-1980","Alectis crinitus","African Pompano","568",09-AUG-95,"BK",,""
"ALENTIANA AURANTIACA","",,"","214112001010000","ALEAUR","5001024401","","S","","HARTMAN, 1942","NODC","","USED NODC SPELLING, RARE SPECIES PROB. MIS-IDED","","","",28-DEC-94,"RAR",,""
"ALEPISAURUS FEROX","LONGNOSE LANCETFISH",440,"LANCET","823180901010000","ALEFER","8762090102","","S","","LOWE, 1833","AFS-1991","","","Alepisaurus ferox","Longnose Lancetfish","440",08-DEC-99,"FPA",,""
"ALEPOCEPHALIDAE","SMOOTHHEAD UNCL",,"","823080100000000","ALEFAM","876001","","F","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"ALEPOCEPHALIIDAE","SLICKHEAD UNCL",39,"","","","876001","","","","","NELSON 1994","MARKLE AND QUERO 1984, CLOFNAM P228","NODC SPELLING ERROR","Alepocephalid species","Slickhead Species","039",01-JAN-99,"FPA",,""
"ALOPIAS SUPERCILIOSUS","BIGEYE THRESHER SHARK",926,"BIGTHRES","","","8707040402","","S","","LOWE","AFS-1991","","","Alopias superciliosus","Bigeye Thresher","926",09-AUG-95,"BK",,""
"ALOPIAS VULPINUS","THRESHER SHARK",925,"THRESHER","","","8707040401","","S","","(BONNATERRE, 1788)","AFS-1991","","","Alopias vulpinus","Thresher Shark","925",09-AUG-95,"BK",,""
"ALOSA AESTIVALIS","BLUEBACK HERRING",34,"BLUEBACK","823080601010000","ALOAES","8747010102","","S","","(MITCHILL, 1814)","AFS-1991","","","Alosa aestivalis","Blueback Herring","034",09-AUG-95,"BK",,""
"ALOSA MEDIOCRIS","HICKORY SHAD",37,"HICKORY","","","8747010103","","S","","(MITCHILL, 1814)","AFS-1991","","","Alosa mediocris","Hickory Shad","037",09-AUG-95,"BK",,""
