"SCINAME","COMNAME","SVSPP","SVABBR","PYSPP","PYABBR","NODCCODE","NODCTYPE","NODCLEVL","NODCCTRL","NODCAUTH","AUTHOR","PICTURE","COMMNT","O_SVSCNM","O_SVCONM","O_SVSPP","DOC","UOC","DOE","UOE"
"SCIAENIDAE","DRUM UNCL",858,"DRUMU","823216400000000","SCIFAM","883544","","F","","","AFS-1991","","|SV: MINOR EDITS","Sciaenidae sp","Drum Uncl","858",01-JAN-99,"FPA",,""
"SCIAENOPS OCELLATUS","RED DRUM",654,"REDDRUM","","","8835440901","","S","","(LINNAEUS)","AFS-1991","","|SV: SPELLING CHANGE AFS-1980","Sciaenops ocellata","Red Drum","654",09-AUG-95,"BK",,""
"SCLEROCRANGON BOREAS","SCULPTURED SHRIMP",,"","411020505020000","SCLBOR","6179220201","","S","","(PHIPPS, 1774)","AFS-1989","","","","","",28-DEC-94,"RAR",,""
"SCOLECOLEPIDES SP","",,"","214150811000000","SCOLSP","50014306","","G","","","","","","","","",28-DEC-94,"RAR",,""
"SCOLELEPIS SP","",,"","214150812000000","SCOLS1","50014320","","G","","BLAINVILLE,1828","","","","","","",28-DEC-94,"RAR",,""
"SCOLELEPIS SQUAMATA","",,"","214150812010000","SCOSQU","5001432001","","","","","","","|NODC: ERROR AS S. SQUAMATUS","","","",28-DEC-94,"RAR",,""
"SCOLOPLOS ACUTUS","",,"","214090103010000","SCOACU","5001400305","","S","","","","","","","","",28-DEC-94,"RAR",,""
"SCOLOPLOS FRAGILIS","",,"","214090103030000","SCOFRA","5001400303","","S","","","","","","","","",28-DEC-94,"RAR",,""
"SCOLOPLOS SP","",,"","214090103000000","SCOLS2","50014003","","G","","","","","","","","",28-DEC-94,"RAR",,""
"SCOMBER JAPONICUS","CHUB MACKEREL",124,"CHUBMAC","","","8850030301","","S","","HOUTTUYN","AFS-1991","","","Scomber japonicus","Chub Mackerel","124",09-AUG-95,"BK",,""
"SCOMBER SCOMBRUS","ATLANTIC MACKEREL",121,"MACK","823216506030000","SCOSCO","8850030302","","S","","LINNAEUS","AFS-1991","","","Scomber scombrus","Atlantic Mackerel","121",09-AUG-95,"BK",,""
"SCOMBER SP","",,"","823216506000000","SCOMSP","88500303","","G","","","AFS-1991","","","","","",28-DEC-94,"RAR",,""
"SCOMBERESOX SAURUS","ATLANTIC SAURY",205,"SAURY","823060402010000","SCOSAU","8803030201","","S","","(WALBAUM)","AFS-1991","","","Scomberesox saurus","Atlantic Saury","205",09-AUG-95,"BK",,""
"SCOMBEROMORUS CAVALLA","KING MACKEREL",744,"KINGMACK","","","8850030501","","S","","(CUVIER)","AFS-1991","","","Scomberomorus cavalla","King Mackerel","744",09-AUG-95,"BK",,""
